,NDC Description,NADAC_Per_Unit,Effective_Date,Pricing_Unit,OTC,Classification_for_Rate_Setting,rx_name,dosage
6150934,CHILDREN IBUPROFEN 100 MG/5 ML,0.02976,181017,ML,Y,G,CHILDREN IBUPROFEN,100 MG/5 ML
266304,CHILDREN PEPTO 400 MG TAB CHEW,0.16186,160323,EA,Y,G,CHILDREN PEPTO,400 MG TAB CHEW
2867999,CHILDREN'S ADVIL 100 MG/5 ML,0.03677,150819,ML,Y,B,CHILDREN'S ADVIL,100 MG/5 ML
2953130,CHILDREN'S ALLERGY LIQUID,0.00938,141119,ML,Y,G,CHILDREN'S ALLERGY LIQUID,
5233317,CHILDREN'S COLD & COUGH ELIXIR,0.01603,180117,ML,Y,G,CHILDREN'S COLD & COUGH ELIXIR,
6146011,CHILDREN'S COLD-ALLERGY ELIXIR,0.01639,181017,ML,Y,G,CHILDREN'S COLD-ALLERGY ELIXIR,
6135694,CHILDREN'S COLD-COUGH ELIXIR,0.01612,181017,ML,Y,G,CHILDREN'S COLD-COUGH ELIXIR,
6132671,CHILDREN'S COLD-COUGH LIQUID,0.01612,181017,ML,Y,G,CHILDREN'S COLD-COUGH LIQUID,
6145117,CHILDREN'S MAPAP 80 MG RAPID,0.05243,181017,EA,Y,G,CHILDREN'S MAPAP,80 MG RAPID
6150410,CHILDREN'S MUCINEX COUGH LIQ,0.05898,180822,ML,Y,B,CHILDREN'S MUCINEX COUGH LIQ,
6145646,CHILDREN'S MUCUS RELIEF LIQ,0.01245,181017,ML,Y,G,CHILDREN'S MUCUS RELIEF LIQ,
2753168,CHILDREN'S PLUS M-S COLD SUSP,0.02009,150318,ML,Y,G,CHILDREN'S PLUS M-S COLD SUSP,
5610581,CHILDREN'S Q-PAP 160 MG/5 ML,0.01980,180523,ML,Y,G,CHILDREN'S Q-PAP,160 MG/5 ML
6135500,CHILDREN'S SILAPAP ELIXIR,0.00803,181017,ML,Y,G,CHILDREN'S SILAPAP ELIXIR,
6150697,CHILDREN'S SILFEDRINE LIQ,0.01399,180718,ML,Y,G,CHILDREN'S SILFEDRINE LIQ,
3064920,CHILDRENS CHEW VITAMIN TAB,0.03502,130822,EA,Y,G,CHILDRENS CHEW VITAMIN TAB,
3047470,CHILDRENS PLUS M-S COLD SUSP,0.02009,150318,ML,Y,G,CHILDRENS PLUS M-S COLD SUSP,
3064699,CHILDS TRIACTING COLD & COUGH,0.01651,140521,ML,Y,G,CHILDS TRIACTING COLD & COUGH,
6144109,CHL MUCINEX CHEST CONGEST LIQ,0.05745,180718,ML,Y,B,CHL MUCINEX CHEST CONGEST LIQ,
6142241,CHLD ACETAMINOPHEN 160 MG/5 ML,0.02088,181017,ML,Y,G,CHLD ACETAMINOPHEN,160 MG/5 ML
6149468,CHLD FLONASE SENSIMIST 27.5 MCG,2.38905,180919,ML,Y,B,CHLD FLONASE SENSIMIST,27.5 MCG
5339056,CHLD MUCINEX STUFFY NOSE-COLD,0.05905,170222,ML,Y,B,CHLD MUCINEX STUFFY NOSE-COLD,
5229926,CHLD TRIAMINIC CGH-SOR THR SUS,0.03946,170118,ML,Y,B,CHLD TRIAMINIC CGH-SOR THR SUS,
6141374,CHLO HIST ORAL SOLUTION,0.07636,180822,ML,Y,G,CHLO HIST ORAL SOLUTION,
6138176,CHLO TUSS LIQUID,0.09683,181017,ML,Y,G,CHLO TUSS LIQUID,
6146766,CHLORDIAZEPO-AMITRIPTYL 5-12.5,1.17020,181017,EA,N,G,CHLORDIAZEPO-AMITRIPTYL,5-12.5
6138898,CHLORDIAZEPOX-AMITRIPTYL 10-25,1.61481,180620,EA,N,G,CHLORDIAZEPOX-AMITRIPTYL,10-25
6150971,CHLORDIAZEPOXIDE 10 MG CAPSULE,0.06369,181017,EA,N,G,CHLORDIAZEPOXIDE,10 MG CAPSULE
6150072,CHLORDIAZEPOXIDE 25 MG CAPSULE,0.07336,181017,EA,N,G,CHLORDIAZEPOXIDE,25 MG CAPSULE
6150867,CHLORDIAZEPOXIDE 5 MG CAPSULE,0.07802,181017,EA,N,G,CHLORDIAZEPOXIDE,5 MG CAPSULE
6140729,CHLORDIAZEPOXIDE-CLIDINIUM CAP,1.21572,181017,EA,N,G,CHLORDIAZEPOXIDE-CLIDINIUM CAP,
6144736,CHLORHEXIDINE 0.12% RINSE,0.00546,181017,ML,N,G,CHLORHEXIDINE,0.12% RINSE
3043342,CHLOROQUINE PH 250 MG TABLET,0.94187,150318,EA,N,G,CHLOROQUINE PH,250 MG TABLET
6141678,CHLOROQUINE PH 500 MG TABLET,9.84104,180523,EA,N,G,CHLOROQUINE PH,500 MG TABLET
6129203,CHLOROTHIAZIDE 250 MG TABLET,0.42290,181017,EA,N,G,CHLOROTHIAZIDE,250 MG TABLET
5016588,CHLOROTHIAZIDE 500 MG TABLET,0.94885,161123,EA,N,G,CHLOROTHIAZIDE,500 MG TABLET
6149830,CHLORPHEN SR 12 MG TABLET,0.23057,180221,EA,Y,G,CHLORPHEN SR,12 MG TABLET
3839989,CHLORPHENIRAMINE 4 MG TABLET,0.02338,161221,EA,Y,G,CHLORPHENIRAMINE,4 MG TABLET
5596427,CHLORPHENIRAMINE ER 12 MG TAB,0.23057,180221,EA,Y,G,CHLORPHENIRAMINE ER,12 MG TAB
6128503,CHLORPROMAZINE 10 MG TABLET,2.38000,181010,EA,N,G,CHLORPROMAZINE,10 MG TABLET
6147518,CHLORPROMAZINE 100 MG TABLET,5.91627,181010,EA,N,G,CHLORPROMAZINE,100 MG TABLET
6138241,CHLORPROMAZINE 200 MG TABLET,7.89801,181010,EA,N,G,CHLORPROMAZINE,200 MG TABLET
6128479,CHLORPROMAZINE 25 MG TABLET,3.01971,181010,EA,N,G,CHLORPROMAZINE,25 MG TABLET
6145465,CHLORPROMAZINE 50 MG TABLET,4.22237,181010,EA,N,G,CHLORPROMAZINE,50 MG TABLET
3045317,CHLORPROPAMIDE 100 MG TABLET,0.62122,140723,EA,N,G,CHLORPROPAMIDE,100 MG TABLET
3066376,CHLORPROPAMIDE 250 MG TABLET,1.16747,140625,EA,N,G,CHLORPROPAMIDE,250 MG TABLET
6147617,CHLORTHALIDONE 25 MG TABLET,0.49802,181017,EA,N,G,CHLORTHALIDONE,25 MG TABLET
6150590,CHLORTHALIDONE 50 MG TABLET,0.73645,181017,EA,N,G,CHLORTHALIDONE,50 MG TABLET
6139775,CHLORZOXAZONE 500 MG TABLET,0.24586,181017,EA,N,G,CHLORZOXAZONE,500 MG TABLET
6132377,CHOLESTYRAMINE LIGHT PACKET,1.47671,181017,EA,N,G,CHOLESTYRAMINE LIGHT PACKET,
6145000,CHOLESTYRAMINE LIGHT POWDER,0.24607,181017,GM,N,G,CHOLESTYRAMINE LIGHT POWDER,
6146839,CHOLESTYRAMINE PACKET,1.44016,181017,EA,N,G,CHOLESTYRAMINE PACKET,
6147573,CHOLESTYRAMINE POWDER,0.17540,181017,GM,N,G,CHOLESTYRAMINE POWDER,
3042156,"CHORIONIC GONAD 10,000 UNIT VL",185.00440,131024,EA,N,G,CHORIONIC GONAD,"10,000 UNIT VL"
6131057,CIALIS 10 MG TABLET,63.84927,181017,EA,N,B,CIALIS,10 MG TABLET
6150434,CIALIS 2.5 MG TABLET,10.88765,181017,EA,N,B,CIALIS,2.5 MG TABLET
6128598,CIALIS 20 MG TABLET,64.12299,181017,EA,N,B,CIALIS,20 MG TABLET
6143950,CIALIS 5 MG TABLET,10.93237,181017,EA,N,B,CIALIS,5 MG TABLET
2898535,CICLODAN 0.77% CREAM,0.20398,131121,GM,N,G,CICLODAN,0.77% CREAM
2782007,CICLODAN 8% SOLUTION,3.85648,131121,ML,N,G,CICLODAN,8% SOLUTION
6148568,CICLOPIROX 0.77% CREAM,0.22779,181017,GM,N,G,CICLOPIROX,0.77% CREAM
6148388,CICLOPIROX 0.77% GEL,0.84109,181017,GM,N,G,CICLOPIROX,0.77% GEL
6151080,CICLOPIROX 0.77% TOPICAL SUSP,1.11549,181017,ML,N,G,CICLOPIROX,0.77% TOPICAL SUSP
6143582,CICLOPIROX 1% SHAMPOO,0.37205,181017,ML,N,G,CICLOPIROX,1% SHAMPOO
6149739,CICLOPIROX 8% SOLUTION,2.11730,181017,ML,N,G,CICLOPIROX,8% SOLUTION
6150303,CILOSTAZOL 100 MG TABLET,0.11597,181017,EA,N,G,CILOSTAZOL,100 MG TABLET
6151018,CILOSTAZOL 50 MG TABLET,0.11043,181017,EA,N,G,CILOSTAZOL,50 MG TABLET
6133987,CILOXAN 0.3% OINTMENT,59.01848,180103,GM,N,B,CILOXAN,0.3% OINTMENT
6150575,CIMETIDINE 200 MG TABLET,0.13775,181017,EA,Y,G,CIMETIDINE,200 MG TABLET
6147603,CIMETIDINE 300 MG TABLET,0.32734,181017,EA,N,G,CIMETIDINE,300 MG TABLET
6136097,CIMETIDINE 300 MG/5 ML SOLN,0.06327,180919,ML,N,G,CIMETIDINE,300 MG/5 ML SOLN
5977584,CIMETIDINE 400 MG TABLET,0.56502,180523,EA,N,G,CIMETIDINE,400 MG TABLET
6139709,CIMETIDINE 800 MG TABLET,0.84877,181017,EA,N,G,CIMETIDINE,800 MG TABLET
6131471,CIMZIA 200 MG/ML SYRINGE KIT,"3,931.41833",181017,EA,N,B,CIMZIA,200 MG/ML SYRINGE KIT
6130167,CIPRO 10% SUSPENSION,1.41010,180620,ML,N,B,CIPRO,10% SUSPENSION
5901433,CIPRO 5% SUSPENSION,1.18686,170823,ML,N,B,CIPRO,5% SUSPENSION
6150454,CIPRO HC OTIC SUSPENSION,28.59788,181017,ML,N,B,CIPRO HC OTIC SUSPENSION,
6149824,CIPRODEX OTIC SUSPENSION,27.93060,180117,ML,N,B,CIPRODEX OTIC SUSPENSION,
6133984,CIPROFLOXACIN 0.2% OTIC SOLN,6.87786,180919,EA,N,G,CIPROFLOXACIN,0.2% OTIC SOLN
6149075,CIPROFLOXACIN 0.3% EYE DROP,0.86464,181017,ML,N,G,CIPROFLOXACIN,0.3% EYE DROP
3028415,CIPROFLOXACIN 250 MG/5 ML SUSP,0.94081,150218,ML,N,G,CIPROFLOXACIN,250 MG/5 ML SUSP
2679204,CIPROFLOXACIN 500 MG/5 ML SUSP,1.19831,150318,ML,N,G,CIPROFLOXACIN,500 MG/5 ML SUSP
6150240,CIPROFLOXACIN HCL 250 MG TAB,0.10237,181017,EA,N,G,CIPROFLOXACIN HCL,250 MG TAB
6150559,CIPROFLOXACIN HCL 500 MG TAB,0.11285,181017,EA,N,G,CIPROFLOXACIN HCL,500 MG TAB
6150500,CIPROFLOXACIN HCL 750 MG TAB,0.27056,181017,EA,N,G,CIPROFLOXACIN HCL,750 MG TAB
3048990,CIPROFLOXACN-D5W 400 MG/200 ML,0.01233,141119,ML,N,G,CIPROFLOXACN-D5W,400 MG/200 ML
6149572,CITALOPRAM HBR 10 MG TABLET,0.02574,181017,EA,N,G,CITALOPRAM HBR,10 MG TABLET
6149414,CITALOPRAM HBR 10 MG/5 ML SOLN,0.25105,180919,ML,N,G,CITALOPRAM HBR,10 MG/5 ML SOLN
6150561,CITALOPRAM HBR 20 MG TABLET,0.02747,181017,EA,N,G,CITALOPRAM HBR,20 MG TABLET
6150907,CITALOPRAM HBR 40 MG TABLET,0.03582,181017,EA,N,G,CITALOPRAM HBR,40 MG TABLET
6134650,CITRANATAL 90 DHA COMBO PACK,1.91195,180905,EA,N,B,CITRANATAL,90 DHA COMBO PACK
3019696,CITRANATAL 90 DHA PACK,1.14758,131201,EA,N,B,CITRANATAL,90 DHA PACK
6127145,CITRANATAL ASSURE COMBO PACK,1.83929,180905,EA,N,B,CITRANATAL ASSURE COMBO PACK,
6131410,CITRANATAL B-CALM COMBO PACK,1.05055,180905,EA,N,B,CITRANATAL B-CALM COMBO PACK,
4953193,CITRANATAL BLOOM TABLET,1.98768,171122,EA,N,B,CITRANATAL BLOOM,TABLET
6150406,CITRANATAL DHA PACK,1.75685,180905,EA,N,B,CITRANATAL DHA PACK,
6145331,CITRANATAL HARMONY CAPSULE,3.70602,180905,EA,N,B,CITRANATAL HARMONY CAPSULE,
6134949,CITRANATAL RX TABLET,2.54748,180905,EA,N,B,CITRANATAL RX,TABLET
6144229,CITRATE OF MAGNESIA SOLN,0.00582,180822,ML,Y,G,CITRATE OF MAGNESIA SOLN,
6150932,CITRUCEL 500 MG CAPLET,0.12801,181017,EA,Y,B,CITRUCEL,500 MG CAPLET
6136197,CITRUCEL POWDER,0.01564,181017,GM,Y,B,CITRUCEL POWDER,
6134042,CITRUCEL POWDER S-F,0.02777,180418,GM,Y,B,CITRUCEL POWDER S-F,
6129811,CLARAVIS 10 MG CAPSULE,3.37467,181017,EA,N,G,CLARAVIS,10 MG CAPSULE
6141351,CLARAVIS 20 MG CAPSULE,4.10837,181017,EA,N,G,CLARAVIS,20 MG CAPSULE
6144802,CLARAVIS 30 MG CAPSULE,5.96506,181017,EA,N,G,CLARAVIS,30 MG CAPSULE
6143019,CLARAVIS 40 MG CAPSULE,4.24213,181017,EA,N,G,CLARAVIS,40 MG CAPSULE
2851471,CLARINEX 0.5 MG/ML (2.5 MG/5),0.66278,150423,ML,N,B,CLARINEX,0.5 MG/ML (2.5 MG/5)
2878802,CLARINEX 5 MG TABLET,6.23628,150423,EA,N,B,CLARINEX,5 MG TABLET
6146974,CLARINEX-D 12 HOUR TABLET,4.82255,180718,EA,N,B,CLARINEX-D,12 HOUR TABLET
2919554,CLARINEX-D 24 HOUR TABLET,5.82132,130926,EA,N,B,CLARINEX-D,24 HOUR TABLET
6143655,CLARITHROMYCIN 125 MG/5 ML SUS,0.80035,180718,ML,N,G,CLARITHROMYCIN,125 MG/5 ML SUS
6148511,CLARITHROMYCIN 250 MG TABLET,0.53819,181017,EA,N,G,CLARITHROMYCIN,250 MG TABLET
6150822,CLARITHROMYCIN 250 MG/5 ML SUS,1.24815,181017,ML,N,G,CLARITHROMYCIN,250 MG/5 ML SUS
6148160,CLARITHROMYCIN 500 MG TABLET,0.58175,181017,EA,N,G,CLARITHROMYCIN,500 MG TABLET
6145015,CLARITHROMYCIN ER 500 MG TAB,2.93628,180919,EA,N,G,CLARITHROMYCIN ER,500 MG TAB
3039662,CLARITIN 10 MG LIQUI-GEL CAP,0.88726,141119,EA,Y,B,CLARITIN,10 MG LIQUI-GEL CAP
3062098,CLARITIN 10 MG REDITABS,0.77642,141217,EA,Y,B,CLARITIN,10 MG REDITABS
3013148,CLARITIN 10 MG TABLET,0.84633,141119,EA,Y,B,CLARITIN,10 MG TABLET
2816455,CLARITIN 5 MG REDITABS,0.68810,141217,EA,Y,B,CLARITIN,5 MG REDITABS
2830830,CLARITIN 5 MG/5 ML SYRUP,0.07556,140917,ML,Y,B,CLARITIN,5 MG/5 ML SYRUP
2579610,CLARITIN-D 12 HOUR TABLET,0.77018,141217,EA,Y,B,CLARITIN-D,12 HOUR TABLET
3002450,CLARITIN-D 24 HOUR TABLET,1.05364,141119,EA,Y,B,CLARITIN-D,24 HOUR TABLET
195782,CLEARLAX PACKET,1.36070,141022,EA,Y,G,CLEARLAX PACKET,
6149170,CLEARLAX POWDER,0.01945,181017,GM,Y,G,CLEARLAX POWDER,
6146882,CLEARLAX POWDER PACKET,1.33497,181017,EA,Y,G,CLEARLAX POWDER PACKET,
3577715,CLEMASTINE FUM 1.34 MG TABLET,0.26088,161019,EA,Y,G,CLEMASTINE FUM,1.34 MG TABLET
6134884,CLEMASTINE FUM 2.68 MG TAB,0.58645,181017,EA,N,G,CLEMASTINE FUM,2.68 MG TAB
6137780,CLENPIQ SOLUTION,0.40964,180905,ML,N,B,CLENPIQ SOLUTION,
6142273,CLEOCIN 100 MG VAGINAL OVULE,56.26134,181017,EA,N,B,CLEOCIN,100 MG VAGINAL OVULE
6144327,CLEOCIN 75 MG/5 ML GRANULES,1.30568,180101,ML,N,B-ANDA,CLEOCIN,75 MG/5 ML GRANULES
6133386,CLIMARA 0.025 MG/DAY PATCH,29.91423,171122,EA,N,B,CLIMARA,0.025 MG/DAY PATCH
6137939,CLIMARA 0.0375 MG/DAY PATCH,29.59386,171122,EA,N,B,CLIMARA,0.0375 MG/DAY PATCH
6130620,CLIMARA 0.05 MG/DAY PATCH,30.29850,180919,EA,N,B,CLIMARA,0.05 MG/DAY PATCH
4913117,CLIMARA 0.06 MG/DAY PATCH,27.27958,161019,EA,N,B,CLIMARA,0.06 MG/DAY PATCH
849748,CLIMARA 0.06/MG DAY PATCH,27.33952,151117,EA,N,B,CLIMARA,0.06/MG DAY PATCH
4903957,CLIMARA 0.075 MG/DAY PATCH,27.40083,161019,EA,N,B,CLIMARA,0.075 MG/DAY PATCH
6138672,CLIMARA 0.1 MG/DAY PATCH,30.20417,181017,EA,N,B,CLIMARA,0.1 MG/DAY PATCH
6130684,CLIMARA PRO PATCH,48.20050,181017,EA,N,B,CLIMARA PRO PATCH,
6142935,CLIND PH-BENZOYL PEROX 1.2-5%,1.72387,181017,GM,N,G,CLIND PH-BENZOYL PEROX,1.2-5%
6142660,CLINDA-BENZOYL PEROX 1-5% PUMP,4.56212,181017,GM,N,G,CLINDA-BENZOYL PEROX,1-5% PUMP
6137745,CLINDA-TRETINOIN 1.2%-0.025%,10.08894,181017,GM,N,G,CLINDA-TRETINOIN,1.2%-0.025%
3004282,CLINDACIN ETZ KIT,289.82604,140820,EA,N,B-ANDA,CLINDACIN ETZ KIT,
6140255,CLINDACIN P 1% PLEDGETS,6.97918,180831,EA,N,B-ANDA,CLINDACIN P,1% PLEDGETS
2558108,CLINDACIN PAC KIT,289.82604,140820,EA,N,B-ANDA,CLINDACIN PAC KIT,
3048129,CLINDAGEL 1% GEL,6.67776,131218,ML,N,B,CLINDAGEL,1% GEL
6145936,CLINDAMYCIN 2% VAGINAL CREAM,1.67314,181017,GM,N,G,CLINDAMYCIN,2% VAGINAL CREAM
6145046,CLINDAMYCIN 75 MG/5 ML SOLN,0.22910,181017,ML,N,G,CLINDAMYCIN,75 MG/5 ML SOLN
6149832,CLINDAMYCIN HCL 150 MG CAPSULE,0.10669,181017,EA,N,G,CLINDAMYCIN HCL,150 MG CAPSULE
6148776,CLINDAMYCIN HCL 300 MG CAPSULE,0.23096,181017,EA,N,G,CLINDAMYCIN HCL,300 MG CAPSULE
6139911,CLINDAMYCIN PEDIATR 75 MG/5 ML,0.22910,181017,ML,N,G,CLINDAMYCIN PEDIATR,75 MG/5 ML
6151154,CLINDAMYCIN PEDIATRIC 75 MG/5 ML,0.22910,181017,ML,N,G,CLINDAMYCIN PEDIATRIC,75 MG/5 ML
6143984,CLINDAMYCIN PH 1% GEL,1.09068,181017,GM,N,G,CLINDAMYCIN PH,1% GEL
6150324,CLINDAMYCIN PH 1% SOLUTION,0.34604,181017,ML,N,G,CLINDAMYCIN PH,1% SOLUTION
6145954,CLINDAMYCIN PHOS 1% PLEDGET,0.34235,181017,EA,N,G,CLINDAMYCIN PHOS,1% PLEDGET
6144262,CLINDAMYCIN PHOSP 1% LOTION,1.10248,181017,ML,N,G,CLINDAMYCIN PHOSP,1% LOTION
6145929,CLINDAMYCIN PHOSPHATE 1% FOAM,4.01052,180919,GM,N,G,CLINDAMYCIN PHOSPHATE,1% FOAM
6149471,CLINDAMYCIN-BENZOYL PEROX 1-5%,3.21525,181017,GM,N,G,CLINDAMYCIN-BENZOYL PEROX,1-5%
2300513,CLINDAMYCIN-BENZOYL PEROX GEL,6.17395,150923,GM,N,G,CLINDAMYCIN-BENZOYL PEROX GEL,
6132529,CLINDESSE 2% VAGINAL CREAM,23.26507,180515,GM,N,B,CLINDESSE,2% VAGINAL CREAM
6150625,CLOBETASOL 0.05% CREAM,1.13429,181017,GM,N,G,CLOBETASOL,0.05% CREAM
6148488,CLOBETASOL 0.05% GEL,1.76133,181017,GM,N,G,CLOBETASOL,0.05% GEL
6149603,CLOBETASOL 0.05% OINTMENT,0.83660,181017,GM,N,G,CLOBETASOL,0.05% OINTMENT
6146259,CLOBETASOL 0.05% SHAMPOO,1.42353,181017,ML,N,G,CLOBETASOL,0.05% SHAMPOO
6150839,CLOBETASOL 0.05% SOLUTION,0.71663,181017,ML,N,G,CLOBETASOL,0.05% SOLUTION
6133252,CLOBETASOL 0.05% TOPICAL LOTN,1.58342,181017,ML,N,G,CLOBETASOL,0.05% TOPICAL LOTN
6150990,CLOBETASOL EMOLLIENT 0.05% CRM,1.42227,181017,GM,N,G,CLOBETASOL EMOLLIENT,0.05% CRM
6141642,CLOBETASOL EMOLLNT 0.05% FOAM,3.26272,181017,GM,N,G,CLOBETASOL EMOLLNT,0.05% FOAM
6129521,CLOBETASOL EMULSION 0.05% FOAM,3.26272,181017,GM,N,G,CLOBETASOL EMULSION,0.05% FOAM
6149716,CLOBETASOL PROP 0.05% FOAM,2.03069,181017,GM,N,G,CLOBETASOL PROP,0.05% FOAM
6147810,CLOBETASOL PROP 0.05% SPRAY,1.66253,181017,ML,N,G,CLOBETASOL PROP,0.05% SPRAY
4159020,CLOBEX 0.05% SHAMPOO,6.80715,160401,ML,N,B,CLOBEX,0.05% SHAMPOO
4460801,CLOBEX 0.05% SPRAY,6.78627,160622,ML,N,B,CLOBEX,0.05% SPRAY
4153007,CLOBEX 0.05% TOPICAL LOTION,8.18838,160401,ML,N,B,CLOBEX,0.05% TOPICAL LOTION
5111169,CLOCORTOLONE PIVALATE 0.1% CRM,6.07884,161221,GM,N,G,CLOCORTOLONE PIVALATE,0.1% CRM
6148976,CLODAN 0.05% SHAMPOO,1.42353,181017,ML,N,G,CLODAN,0.05% SHAMPOO
2953639,CLODERM 0.1% CREAM,6.90521,150218,GM,N,B,CLODERM,0.1% CREAM
3053687,CLODERM 0.1% CREAM PUMP,6.49740,140102,GM,N,B,CLODERM,0.1% CREAM PUMP
6145786,CLOMIPHENE CITRATE 50 MG TAB,0.75805,181017,EA,N,G,CLOMIPHENE CITRATE,50 MG TAB
6150970,CLOMIPRAMINE 25 MG CAPSULE,3.53551,181010,EA,N,G,CLOMIPRAMINE,25 MG CAPSULE
6149622,CLOMIPRAMINE 50 MG CAPSULE,3.71595,181017,EA,N,G,CLOMIPRAMINE,50 MG CAPSULE
6149792,CLOMIPRAMINE 75 MG CAPSULE,4.23721,181017,EA,N,G,CLOMIPRAMINE,75 MG CAPSULE
6141254,CLONAZEPAM 0.125 MG DIS TAB,0.72128,181017,EA,N,G,CLONAZEPAM,0.125 MG DIS TAB
6137088,CLONAZEPAM 0.125 MG ODT,0.72128,181017,EA,N,G,CLONAZEPAM,0.125 MG ODT
6146094,CLONAZEPAM 0.25 MG ODT,0.74893,181017,EA,N,G,CLONAZEPAM,0.25 MG ODT
6143353,CLONAZEPAM 0.5 MG DIS TABLET,0.63983,181017,EA,N,G,CLONAZEPAM,0.5 MG DIS TABLET
6148614,CLONAZEPAM 0.5 MG ODT,0.63983,181017,EA,N,G,CLONAZEPAM,0.5 MG ODT
6150567,CLONAZEPAM 0.5 MG TABLET,0.01815,181017,EA,N,G,CLONAZEPAM,0.5 MG TABLET
6138862,CLONAZEPAM 1 MG DIS TABLET,0.76690,181017,EA,N,G,CLONAZEPAM,1 MG DIS TABLET
6145514,CLONAZEPAM 1 MG ODT,0.76690,181017,EA,N,G,CLONAZEPAM,1 MG ODT
6150213,CLONAZEPAM 1 MG TABLET,0.02595,181017,EA,N,G,CLONAZEPAM,1 MG TABLET
6149287,CLONAZEPAM 2 MG ODT,1.08433,181017,EA,N,G,CLONAZEPAM,2 MG ODT
6151036,CLONAZEPAM 2 MG TABLET,0.03422,181017,EA,N,G,CLONAZEPAM,2 MG TABLET
6150327,CLONIDINE 0.1 MG/DAY PATCH,10.92439,181017,EA,N,G,CLONIDINE,0.1 MG/DAY PATCH
6148968,CLONIDINE 0.2 MG/DAY PATCH,17.99657,181017,EA,N,G,CLONIDINE,0.2 MG/DAY PATCH
6150978,CLONIDINE 0.3 MG/DAY PATCH,20.15813,181017,EA,N,G,CLONIDINE,0.3 MG/DAY PATCH
6150745,CLONIDINE HCL 0.1 MG TABLET,0.02161,181017,EA,N,G,CLONIDINE HCL,0.1 MG TABLET
6149822,CLONIDINE HCL 0.2 MG TABLET,0.03003,181017,EA,N,G,CLONIDINE HCL,0.2 MG TABLET
6149322,CLONIDINE HCL 0.3 MG TABLET,0.04042,181017,EA,N,G,CLONIDINE HCL,0.3 MG TABLET
6143573,CLONIDINE HCL ER 0.1 MG TABLET,2.06561,181017,EA,N,G,CLONIDINE HCL ER,0.1 MG TABLET
6151078,CLOPIDOGREL 75 MG TABLET,0.06340,181017,EA,N,G,CLOPIDOGREL,75 MG TABLET
6134727,CLORAZEPATE 15 MG TABLET,3.67510,181017,EA,N,G,CLORAZEPATE,15 MG TABLET
6142984,CLORAZEPATE 3.75 MG TABLET,1.30217,181017,EA,N,G,CLORAZEPATE,3.75 MG TABLET
6148801,CLORAZEPATE 7.5 MG TABLET,1.52363,181017,EA,N,G,CLORAZEPATE,7.5 MG TABLET
6149050,CLOTRIM 1% VAGINAL CREAM,0.07686,181017,GM,Y,G,CLOTRIM,1% VAGINAL CREAM
870170,CLOTRIM ANTIFUNGAL CREAM,0.10688,150923,GM,Y,G,CLOTRIM ANTIFUNGAL CREAM,
6150583,CLOTRIMAZOLE 1% CREAM,0.11093,181017,GM,Y,G,CLOTRIMAZOLE,1% CREAM
6144285,CLOTRIMAZOLE 1% SOLUTION,1.43608,181017,ML,N,G,CLOTRIMAZOLE,1% SOLUTION
6150631,CLOTRIMAZOLE 10 MG TROCHE,0.40749,181017,EA,N,G,CLOTRIMAZOLE,10 MG TROCHE
702839,CLOTRIMAZOLE 3 DAY CREAM,0.33052,160120,GM,Y,G,CLOTRIMAZOLE,3 DAY CREAM
6130737,CLOTRIMAZOLE-3 CREAM,0.31495,181017,GM,Y,G,CLOTRIMAZOLE-3 CREAM,
6150573,CLOTRIMAZOLE-BETAMETHASONE CRM,0.24835,181017,GM,N,G,CLOTRIMAZOLE-BETAMETHASONE CRM,
6141669,CLOTRIMAZOLE-BETAMETHASONE LOT,2.94686,181017,ML,N,G,CLOTRIMAZOLE-BETAMETHASONE LOT,
6150525,CLOZAPINE 100 MG TABLET,0.69267,181017,EA,N,G,CLOZAPINE,100 MG TABLET
6143861,CLOZAPINE 200 MG TABLET,1.99050,181017,EA,N,G,CLOZAPINE,200 MG TABLET
6148155,CLOZAPINE 25 MG TABLET,0.33832,181017,EA,N,G,CLOZAPINE,25 MG TABLET
6150672,CLOZAPINE 50 MG TABLET,0.57567,181017,EA,N,G,CLOZAPINE,50 MG TABLET
5671294,CLOZAPINE ODT 100 MG TABLET,5.33393,171018,EA,N,G,CLOZAPINE ODT,100 MG TABLET
6149529,CLOZARIL 100 MG TABLET,14.01242,180328,EA,N,B,CLOZARIL,100 MG TABLET
3946613,CLOZARIL 25 MG TABLET,5.04881,160205,EA,N,B,CLOZARIL,25 MG TABLET
4472615,COARTEM TABLETS,4.95952,160712,EA,N,B,COARTEM TABLETS,
5350241,CODEINE SULFATE 15 MG TABLET,0.36452,170222,EA,N,G,CODEINE SULFATE,15 MG TABLET
6145451,CODEINE SULFATE 30 MG TABLET,0.39453,181017,EA,N,G,CODEINE SULFATE,30 MG TABLET
5249685,CODEINE SULFATE 60 MG TABLET,0.65268,170118,EA,N,G,CODEINE SULFATE,60 MG TABLET
6145650,CODEINE-GUAIFEN 10-100 MG/5 ML,0.05543,181017,ML,Y,G,CODEINE-GUAIFEN,10-100 MG/5 ML
3037263,CODITUSS DM SYRUP,0.13732,150422,ML,Y,G,CODITUSS DM SYRUP,
6143235,COLACE 100 MG CAPSULE,0.26472,181017,EA,Y,B,COLACE,100 MG CAPSULE
6148885,COLACE 2-IN-1 TABLET,0.38725,181017,EA,Y,B,COLACE,2-IN-1 TABLET
